filename,artist,title,style,genre,date,idx
430.jpg,a6027a4ba71b61a55ea598379c9d508c,Two Dancers with Yellow Corsages,Impressionism,genre painting,c.1902,430
904.jpg,1950e9aa6ad878bc2a330880f77ae5a1,Portrait of Sylvette David,Expressionism,portrait,1954,904
136.jpg,a6027a4ba71b61a55ea598379c9d508c,"Jeantaud, Linet and Laine",Impressionism,portrait,1871,136
727.jpg,4a30943bf6dd5da55d12ccd14aaff0d8,View of Cagne from Horseback,Magic Realism,landscape,1921,727
734.jpg,855baacfb3c92bca6700accbac624378,Landscape with canal,Pointillism,landscape,,734
910.jpg,b844978933b7ae43e32ce775494821eb,Untitled,Surrealism,symbolic painting,,910
572.jpg,b5eaa78a28dc3b1d0ead84a3fd81b423,Daniel LaMotte ,Romanticism,portrait,1813.0,572
895.jpg,dd1632620669a880e3fc3896547c10ce,The Fisherman,Impressionism,genre painting,1926,895
281.jpg,a4a0c7f453db17be153de96ebcfc711f,The Presentation of the Infant Jesus in the Temple,Proto Renaissance,religious painting,c.1320,281
898.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"Stolzenfels Castle, in the background Lahneck Castle",Romanticism,landscape,1836,898
381.jpg,1e7ffd6f66de716c62c8b9c89c21494f,Sacrificial Stone in Baalbek,Post-Impressionism,cityscape,1907.0,381
230.jpg,a247e30c3ee8afa792fce2c25e3d3e8c,Birch Trees,Post-Impressionism,landscape,1911,230
272.jpg,50900e56a7480824436d7ad7f83fcc2b,Lady Delm and her Children,Rococo,portrait,1780,272
916.jpg,1e8267251976e6f3b771b00f32c5798b,Double Portrait (Chief Inspector Heinrich Benesch and His Son Otto),Expressionism,portrait,1913,916
124.jpg,9aedafc30e2a675b8d761b0b313e2376,Summer Pastoral,Rococo,pastorale,1749,124
557.jpg,9c948f31fc16aca442cc91e7fe05fb95,A Corner of the Garden in Rueil,Realism,cityscape,1882,557
481.jpg,b59f3b556ce036d42a93dea4c3f1ba48,The Western Brothers,Neoclassicism,portrait,1783,481
687.jpg,b844978933b7ae43e32ce775494821eb,Untitled,Surrealism,symbolic painting,,687
992.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Christ Handing the Keys to St. Peter (detail 1),Early Renaissance,religious painting,1482,992
588.jpg,d8a3c897c506be7de91d8f892f14f934,Zo d'Axa,Realism,sketch and study,,588
767.jpg,dcf0ea86a8a6510caf9a8816a0532312,Requiescat,Academicism,animal painting,1888.0,767
626.jpg,d09f796f2b0aa11dffc88badd9806119,Tempest,Romanticism,landscape,1850,626
283.jpg,76cd369cddf78f33b853fa53077ac113,Bay. Vyko,Realism,landscape,,283
981.jpg,d41c502f1b4faa29dcc0214c4e3dc33d,"Harriet Howard, Duchess of Sutherland",Neoclassicism,portrait,1849,981
503.jpg,7e946c3fae23ee8777b7b49d056ca993,Bringing home the flock ,Academicism,genre painting,1881.0,503
262.jpg,13fb1d497e1759ed5311c5222fb02685,The Return of Ulysses to his home,Academicism,mythological painting,,262
273.jpg,6baae050950b67f2462ce2b0c6c8ab9e,Untitled,Art Informel,abstract,1955.0,273
367.jpg,be80d7a4e112407465a49e215d44a61e,Creation of the World IV,Symbolism,symbolic painting,1906,367
745.jpg,9c678eb1eff0a37569b9066013797160,Untitled (Blue Field),Lyrical Abstraction,abstract,1961,745
438.jpg,3edc6a404b8c67b7dad1405d52228c96,Marie Louise House in Spring ,Divisionism,landscape,,438
249.jpg,d41c502f1b4faa29dcc0214c4e3dc33d,Princess Charlotte of Belgium,Neoclassicism,portrait,1842,249
839.jpg,40f86d376acde0d9862ce7493745bdae,Battle of Tétouan,Surrealism,battle painting,1962,839
490.jpg,dd64f4b87e7e6a5549ffb72f7bca746c,Titian,Baroque,portrait,1587,490
974.jpg,e60882af79cababb03ddfa980a75448c,The Fall or The Accident,Romanticism,genre painting,1787,974
893.jpg,df158115f72d7f1a3889158962258455,The Swing of Pulcinella ,Rococo,genre painting,1793,893
74.jpg,129349585c3d1f312535b6619fc36bf7,Roses,Realism,flower painting,c.1890,74
738.jpg,8484e5abe6badeb29c4b9af137636259,La caridad,Romanticism,genre painting,1888.0,738
72.jpg,234c8d1df0b49b512791078cf00cf352,Bougival,Impressionism,landscape,1878,72
976.jpg,3edc6a404b8c67b7dad1405d52228c96,In Flowers,Divisionism,portrait,,976
443.jpg,481c5c92d55717167e01821144a54635,Bouquet of Flowers,Impressionism,flower painting,1873,443
25.jpg,1dfc4d9fc9461efb99a4138c1966e1b4,Mountain Village (Autumnal),Abstract Art,abstract,1934,25
969.jpg,51b72626792ce4fabab05000bac62e7d,Bathers by the Edge of a River,Orientalism,genre painting,,969
39.jpg,234c8d1df0b49b512791078cf00cf352,The Seine at Grenelle,Impressionism,landscape,1878,39
617.jpg,5fc2ffdd3d24ab503edd9a271dc379bd,Landscape by the Lake,Realism,landscape,c.1870,617
319.jpg,1e7ffd6f66de716c62c8b9c89c21494f,Electric Station at Jajce at Night,Symbolism,cityscape,1903.0,319
104.jpg,dc589f213ba7bd398714ac2796b7c0ab,Vision of Ezekiel,Baroque,religious painting,1608,104
538.jpg,49bb8d79587c2172c6cd04dd705fd891,Beach Scene with Lighthouse (also known as Children at the Seashore),Post-Impressionism,genre painting,c.1902,538
239.jpg,db6a8050ebd12c0371ccaabaffefbe6e,Vendor of Fowl,Northern Renaissance,genre painting,1560.0,239
32.jpg,5fc2ffdd3d24ab503edd9a271dc379bd,Young Woman at the Well,Romanticism,portrait,1870,32
523.jpg,9b97b479032a80f1d0b12175e1360a22,Sunset at the Strait of Belle Isle,Romanticism,marina,,523
146.jpg,ebd4331a76bb68407c87158fad32cf41,Jeune figue posant pour Leonard de Vinci,Surrealism,symbolic painting,1946,146
952.jpg,795985c5c0e7c704a354a487bdffeef5,Composition VIII,Abstract Art,abstract,1923,952
16.jpg,02b866899dc71a00364337e830d075d7,The Fire in the Borgo,High Renaissance,genre painting,1514,16
630.jpg,02b866899dc71a00364337e830d075d7,Madonna of the Baldacchino  ,High Renaissance,religious painting,,630
49.jpg,bd14ef3c1a25cf0c5368ccd92a3c5f04,"Portrait of the composer's daughter, EF Napravnik ",Art Nouveau (Modern),portrait,c.1910,49
238.jpg,82665201c4108381d854740ddcb86e67,Portrait of M. Lukyanov,Symbolism,portrait,1918,238
543.jpg,48fc8e17fb4d3cb68c2d0112491f60f1,Portrait of a Young Man,High Renaissance,portrait,1500,543
928.jpg,49bb8d79587c2172c6cd04dd705fd891,Bed of Flowers (also known as Cannas or The Garden),Post-Impressionism,flower painting,c.1899,928
499.jpg,b844978933b7ae43e32ce775494821eb,Untitled,Surrealism,symbolic painting,,499
851.jpg,9649a0013a798a8367d2c493e37468ec,Rocca de Secca,Luminism,landscape,1858,851
405.jpg,baf7d83c695b53884ac947bf8fb9567e,Miss Thea Proctor ,Symbolism,portrait,1903.0,405
77.jpg,c7410238d399d9f454123e59b059fdd2,The Dice,Synthetic Cubism,still life,1922,77
886.jpg,82665201c4108381d854740ddcb86e67,Evening Shadows,Symbolism,landscape,1917,886
831.jpg,5aabfc58470d01bb2362795a44a2603b,Christmas night,Post-Impressionism,genre painting,1894,831
489.jpg,147b0f64f4c2848bc0ad7bc1cdf74afe,Morning ,Impressionism,landscape,1914,489
205.jpg,5ae394770a82dac7cea5d95ef6482a11,Stock-still Dream,Cloisonnism,marina,1980,205
439.jpg,ff5bb5557d34e6917582a0cff39a3cba,Slave and Lion ,Romanticism,genre painting,1924.0,439
508.jpg,b844978933b7ae43e32ce775494821eb,Untitled,Surrealism,symbolic painting,,508
156.jpg,4a30943bf6dd5da55d12ccd14aaff0d8,The Visit,Cloisonnism,genre painting,1899,156
905.jpg,d09f796f2b0aa11dffc88badd9806119,Sea buttle near Revel,Romanticism,marina,1846,905
4.jpg,342d7068656b00878b23e1031a3ddf50,Portrait of Grand Duchess Olga Alexandrovna ,Impressionism,portrait,1893.0,4
471.jpg,1e8267251976e6f3b771b00f32c5798b,"Spitalskirche, Molding",Expressionism,sketch and study,1918,471
152.jpg,739ad39c672e781a5cee3c07ecb9f646,The Beach at Selsey Bill,Tonalism,landscape,c.1865,152
384.jpg,121fffad1eb6f7dff228b8a71b6aec72,In the hut,Realism,genre painting,1878.0,384
147.jpg,7da0e381160e47ec634d204917c23d94,Noturno,New Realism,animal painting,,147
236.jpg,eb7aab875efeae0d20311261fc826ef0,Portrait of a Young Man,Early Renaissance,portrait,1440,236
89.jpg,121fffad1eb6f7dff228b8a71b6aec72,Leo Tolstoy in the forest,Realism,portrait,1891.0,89
259.jpg,14ca2cd12133edb1537d0d0c8e557e40,Man and tram,Futurism,portrait,1905,259
217.jpg,80687062449ff7454e2c8926be56f643,Untitled,Naïve Art (Primitivism),sketch and study,1973,217
245.jpg,0c7eaecdec27857c7a62125561cd32d0,Irod's feast,Baroque,religious painting,,245
993.jpg,33fbba0a786451ed0ed45b0467349cfe,June Glory,Impressionism,flower painting,1920,993
550.jpg,760fc95df0f09618acfa3561ecdf329b,Untitled,Action painting,abstract,1957,550
778.jpg,a6027a4ba71b61a55ea598379c9d508c,"Portrait of Mme. Rene De Gas, born Estelle Musson",Impressionism,portrait,1873,778
356.jpg,c893995a89c621638c11fc2c51038571,Reprimand,Realism,genre painting,1883,356
959.jpg,83e9823eb4868ca162fd3b7adff70096,Death of Almoadam,Romanticism,illustration,1877,959
69.jpg,1468ab18764365ded902fc726aec2c89,Dwarves,Op Art,tessellation,,69
126.jpg,49bb8d79587c2172c6cd04dd705fd891,St. Malo,Post-Impressionism,landscape,c.1907,126
11.jpg,453ddca2bf25d4cd2c01a88f9ab2c376,Yard at winter,Realism,cityscape,c.1904,11
371.jpg,d4694d62cbeb84925ff57fc57243a2e2,Springtime,Impressionism,landscape,1930.0,371
442.jpg,ccb8b07e7e3d837b2cd08d3edaf009cd,Watching for Wagons ,Romanticism,genre painting,1917.0,442
210.jpg,358474690052f63f9107c823b7a61686,Fortune-teller with a candle,Romanticism,portrait,1830,210
108.jpg,129349585c3d1f312535b6619fc36bf7,Portrait of A.Suvorina,Romanticism,portrait,c.1880,108
638.jpg,6f80666437feea42f295cdc0f1eb4df9,The Deauville Basin,Impressionism,marina,c.1894,638
491.jpg,5ae394770a82dac7cea5d95ef6482a11,Marine,Expressionism,marina,1988,491
62.jpg,6f80666437feea42f295cdc0f1eb4df9,"The Fisherman, Low Tide",Realism,genre painting,c.1863,62
807.jpg,129349585c3d1f312535b6619fc36bf7,Proclamation of Kuzma Minin in Nizhny Novgorod in 1611,Romanticism,history painting,,807
527.jpg,bd14ef3c1a25cf0c5368ccd92a3c5f04,Marrakesh ,Expressionism,genre painting,1928,527
574.jpg,0eeac4ecff259dc515be795e1a76019a,Portrait of F.F. Notgaft (Collector),Art Nouveau (Modern),portrait,1918.0,574
320.jpg,861c29e13205420326f7443ea77de5c9,The Green Jar ,Post-Impressionism,,1930.0,320
987.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Extra in the Folies Bergere Revue,Art Nouveau (Modern),sketch and study,1896,987
414.jpg,5fc2ffdd3d24ab503edd9a271dc379bd,"The Boatman Left the Bank with a Woman and a Child Sitting in his Boat, Sunset",Realism,landscape,,414
859.jpg,33fbba0a786451ed0ed45b0467349cfe,"Meridian Street, Thawing Weather",Impressionism,landscape,1887,859
888.jpg,3cc9a44380296d93e68b71a27643c25f,Madame Cezanne in a Yellow Chair,Post-Impressionism,portrait,c.1890,888
973.jpg,6f80666437feea42f295cdc0f1eb4df9,"Camaret, the Port",Impressionism,marina,,973
165.jpg,ff9488f3353c524c946f38e6547af32a,Still Life With Guitar and Pipe,Post-Impressionism,still life,1959.0,165
551.jpg,91373404ff71f68865c7cd9c51bc62ef,Peñascos de la Peña Encantada ,Realism,landscape,1864.0,551
899.jpg,baa3e6fec49e7eba24e23a8685c22955,Required Reading,Art Nouveau (Modern),genre painting,1900,899
656.jpg,a8da68256ffa6f9fee55bd7bb553652a,Christmas Shoppers,New Realism,genre painting,1912,656
726.jpg,c0aa7e2bff796b733a65546eb0df1359,Little Japanese Girl,Academicism,portrait,,726
658.jpg,e87972a61b3ea8056af087ca4d5a7d56,Lady with Goldfish,Impressionism,portrait,,658
570.jpg,f01dab6c041577553712639c152de0e3,No Swimming,Regionalism,genre painting,,570
661.jpg,aceaa52f487dd19129857232b2eeb3d5,Roses,Realism,flower painting,1871,661
143.jpg,d09f796f2b0aa11dffc88badd9806119,Russian-Turkish Sea Battle of Sinop on 18th November 1853,Romanticism,battle painting,1853,143
936.jpg,5e560e9b2ae0c20cfc57b308742bc677,Woman with Eyes Closed,Expressionism,portrait,2002,936
761.jpg,d7b7249d6638477b3073df86f60a43a0,Man on a Scaffold,Social Realism,genre painting,1985,761
421.jpg,8a1a67964c0cbea29fc9801b5c42c553,Pine. Merikyul,Realism,landscape,1894.0,421
484.jpg,45f4183820ce1fa775f8a27d3120aad6,Light and Air,Realism,landscape,1935,484
675.jpg,f8b53786a6cb54a4d7f889c4613be3e4,Still Life,Magic Realism,still life,1949.0,675
972.jpg,44eee069716bb323fdde08eecdcd9c74,The Virgin of the Chancellor Rolin (detail) ,Northern Renaissance,cityscape,1436,972
420.jpg,b31c8ec49c09506f17ec3c0c04fce567,Reverend Daniel Wilson ,Rococo,portrait,1760.0,420
950.jpg,f1871797a848ae00a186024c88748ad6,Mickey ,Pop Art,design,,950
264.jpg,5fc2ffdd3d24ab503edd9a271dc379bd,"Florence, The Boboli Gardens",Realism,cityscape,c.1835,264
744.jpg,bb69c7f93d60a05dca5ce66222f52e98,Sir Astley Paston Cooper,Romanticism,portrait,,744
938.jpg,8a1a67964c0cbea29fc9801b5c42c553,The Sun lit Pines,Realism,landscape,1886.0,938
357.jpg,7b5a9186df853ff921c211145ca5ab59,William H Macdowell ,Realism,portrait,,357
569.jpg,3cb302046ccfd50f005243963add5031,Duke of York,Baroque,portrait,,569
134.jpg,ce3d8977aae5986601232aa58d15282a,Cassis. The view from the window.,Cubism,cityscape,1913,134
533.jpg,dd55583ce853dcbab93bb4af58f4fcfb,A Classical Beauty With A Peacock,Neoclassicism,portrait,,533
842.jpg,861c29e13205420326f7443ea77de5c9,"Sea Piece, Barra",Post-Impressionism,marina,,842
742.jpg,464950b96886c89d81dfd85373ac13d4,Innenansicht der Börse (Handelsbeurs) von Antwerpen,Realism,interior,,742
201.jpg,70612e44f5d877d771c1977b9c5589ad,Ludovica Tornabuoni,Early Renaissance,portrait,,201
76.jpg,5b6a7be5ffc6a27b91bd3210ffa2e088,Kitchen,Social Realism,interior,1965.0,76
453.jpg,8a1a67964c0cbea29fc9801b5c42c553,Forest,Realism,sketch and study,1869.0,453
920.jpg,bcbe9e31a685a3b99d1891edfba25cff,Peasant Woman,Impressionism,portrait,1896.0,920
54.jpg,bb69c7f93d60a05dca5ce66222f52e98,Thomas Moore,Romanticism,portrait,,54
270.jpg,c16781c4321948227193214b68477a5c,Portrait of Mrs Harold Wilson,Realism,portrait,1897,270
434.jpg,5f766392b0bb21a9a771c4675efccd5f,Oleg meets wizard,Romanticism,literary painting,1899.0,434
810.jpg,86b586678f7cf992338f6d715631b794,Stary Krym,Symbolism,landscape,1902,810
672.jpg,9649a0013a798a8367d2c493e37468ec,"Farralon Islands, California",Luminism,landscape,,672
118.jpg,dcb1d130c7640aefc60890d0e90d472d,Lord's Supper,Realism,religious painting,,118
829.jpg,b0a8029c99e6a75f2ff557b94e981de0,A Hamadryad,Romanticism,mythological painting,1893,829
119.jpg,82665201c4108381d854740ddcb86e67,Asleep on the Grass Young Woman,Symbolism,genre painting,1913,119
655.jpg,83e9823eb4868ca162fd3b7adff70096,Her Friends Were Eager To See The Splendors Of Her House,Romanticism,illustration,,655
364.jpg,e9cccfc2addb4f5f89a333f5b5deb834,Battle of Krasnaya Gorka,Realism,marina,1866,364
728.jpg,8863967f24bf7974f76ac119e26c9e3f,Moscow Street,Expressionism,genre painting,1911,728
83.jpg,03f28fbdb3d6543f4b0d9307d0b7da00,Mountain Landscape with Lake,Impressionism,landscape,,83
912.jpg,8c3c5d81d88094aad25fcfd00c17f6ca,The funeral of the elderly Attar of Nishapur,Timurid Period,miniature,1486.0,912
155.jpg,0be7d2d98680435bcfcde984bdcf9b39,"The Dead Sarpedon, Borne by Sleep and Death (from Homer's 'The Iliad') ",Romanticism,literary painting,1831.0,155
906.jpg,38e14c2f533ff199174b1803c57c27e7,Fisher On The Ice ,Impressionism,genre painting,,906
724.jpg,eca4e6b75d88dc798fcf1821aeb28f40,Retrato de Cláudio e Maria,Realism,portrait,1922.0,724
460.jpg,234c8d1df0b49b512791078cf00cf352,Haystacks at Moret Morning Light,Impressionism,landscape,1890,460
235.jpg,40b02cfc7d44302592370bb9feddc28a,Humoresque,New Realism,landscape,1915,235
355.jpg,c16781c4321948227193214b68477a5c,Grace Woodhouse,Realism,portrait,1890,355
983.jpg,e3e5d377f3f20fd13a2a3d4d1e16eded,Ships in Harbour,Naïve Art (Primitivism),marina,,983
766.jpg,c7410238d399d9f454123e59b059fdd2,The Basket of Pears,Cubism,still life,1925,766
368.jpg,5f245a6862316435f7f90b28f4b66e77,The Spanish Woman 1905,,,,368
14.jpg,c6a2545723847ff0987e5efd82912ffa,Landscape,Pointillism,landscape,,14
596.jpg,dcb1d130c7640aefc60890d0e90d472d,Venice,Impressionism,cityscape,1896,596
382.jpg,925aa369b0793b82b0c79df590b98832,Spring Ploughing,Romanticism,landscape,1821,382
407.jpg,b708512929577d7783aa75e4d58fd154,Serpent et trou,Contemporary Realism,animal painting,1966,407
109.jpg,c5e676e275ce5a30ca64608de7890680,Head of an old Man,Baroque,portrait,,109
260.jpg,d2a12d1486da7fdfeb74b488075cf1f6,Study for Two Youths Enter Upon a Pilgrimage,Romanticism,sketch and study,1848,260
325.jpg,bf1d0c9118c5c4d6973bfeb5d7657d83,Portrait Of Mrs Eben Richards,Art Nouveau (Modern),portrait,1899,325
930.jpg,9649a0013a798a8367d2c493e37468ec,Native of the Woods,Realism,wildlife painting,,930
537.jpg,1d6d112c140cb6d1d763a7ca73f2eec0,Landscape. The village of Volyn,Realism,landscape,1887,537
298.jpg,d09f796f2b0aa11dffc88badd9806119,The sunset on sea,Romanticism,marina,1848,298
374.jpg,5b6a7be5ffc6a27b91bd3210ffa2e088,"Washline, Little Bridge  ",Expressionism,cityscape,1989.0,374
663.jpg,c31b03be3da5810b44ea4782d2f3b8a0,Autumn,Magic Realism,landscape,,663
640.jpg,25ae5f1122be2bd3460525c418b9d492,St. Nicholas of Bari,Early Renaissance,religious painting,1424,640
703.jpg,d69b165b98e6f4774f504d1e00de0a68,Column in the Verandah,Expressionism,landscape,,703
37.jpg,b5d68c68efa0917dc276558a88dfee56,"Portrait of Nikolay Kramskoy, the Artist`s Son",Realism,portrait,1882,37
48.jpg,be00408d7829063ed36c7ee3bef77e99,Woman Ironing,Fauvism,genre painting,1912,48
12.jpg,ede1514454e88b491065d3d9ec6e7197,Daryal pass. Moonlight Night,Impressionism,landscape,c.1895,12
953.jpg,8a1a67964c0cbea29fc9801b5c42c553,Forest landscape with stream,Realism,landscape,,953
288.jpg,68cbc428edbcf480cbbb9a0e66e7046d,Mother and Two Children,Impressionism,genre painting,1906,288
582.jpg,8015301cc7d239fbb7a6a693e708d2b1,Place de la Concorde,Neoplasticism,abstract,1943.0,582
980.jpg,dd4a0a26ac3e5f05c4287604bb34694c,The Beggars,Classicism,genre painting,1640.0,980
546.jpg,861c29e13205420326f7443ea77de5c9,Flowers in a Silver Jug,,still life,,546
736.jpg,3f8dc381ccfe9d5cc88b75970262715b,Flowers,Post-Impressionism,flower painting,1929,736
231.jpg,40f86d376acde0d9862ce7493745bdae,Portrait of Mrs. Harrison Williams,Surrealism,portrait,c.1943,231
718.jpg,19e08b713138f86ffd2c42866f14cddd,Portrait of sculptor John Pappas ,,,1938.0,718
698.jpg,464950b96886c89d81dfd85373ac13d4,Arreau,Realism,landscape,,698
322.jpg,b8731537e262d51ab1de92824f03a4cb,Pannello a scacchi,Op Art,abstract,1950,322
771.jpg,387b5bc26967586d61d0e2343c1608f3,Massif near the house,Post-Impressionism,landscape,1907,771
821.jpg,db1318d32df7428076e03513ebf762bb,Lenor appears in front of the black sun of melancholy,Symbolism,illustration,1882,821
662.jpg,82665201c4108381d854740ddcb86e67,Summer Landscape,Symbolism,landscape,1900,662
608.jpg,ede1514454e88b491065d3d9ec6e7197,After a Rain,Impressionism,landscape,,608
606.jpg,b57b907d3d83443091158562bd43b1f1,Cattle,Romanticism,animal painting,,606
477.jpg,289368a0d294ec4a0d531c270faf8de5,"The South and East Front of Clumber House, Nottinghamshire",Romanticism,landscape,,477
291.jpg,9649a0013a798a8367d2c493e37468ec,The Falls,Luminism,landscape,1873,291
215.jpg,d1ec00902766b952ec62d98953e135ec,"Violet, Black, Orange, Yellow on White and Red",Color Field Painting,abstract,1949,215
26.jpg,b2a43738fde0a20062a0900417351a9f,Coronation of the Virgin,Mannerism (Late Renaissance),religious painting,c.1604,26
862.jpg,f14a3a6cc3112c9e92bc6c33c88eb264,A Street Altar,Romanticism,genre painting,1883,862
302.jpg,121fffad1eb6f7dff228b8a71b6aec72,The Courtyard of Petrovsky Palace,Realism,portrait,1885.0,302
413.jpg,1e8267251976e6f3b771b00f32c5798b,Trees Mirrored in a Pond,Impressionism,landscape,1907,413
366.jpg,69f42fe50ebe0a46b3428b6ca22c1453,The Earl of Darnley,Rococo,portrait,1785,366
684.jpg,0f80e5e4699fa73837d2f6b8f0aa74b5,Sorrow,Romanticism,illustration,,684
970.jpg,525770f6b8ef776647a5d94d28baedb4,Harlequin,Expressionism,portrait,,970
99.jpg,c38fea973e430fde20b174f588e853d4,The Crucifixion with St. Mary Magdalen,High Renaissance,religious painting,c.1490,99
897.jpg,b5585b3588ad36b108f43145a63c488f,Platero. Well.,Expressionism,illustration,,897
530.jpg,eeeb3df937e2890e7e8178935b27bf9b,Alligators All Around,Naïve Art (Primitivism),illustration,,530
999.jpg,b64b426fa2b080ad94a2e1c7f423413c,Evening in Petersburg,Realism,genre painting,1871,999
56.jpg,e60882af79cababb03ddfa980a75448c,The Holy Family,Romanticism,religious painting,c.1780,56
826.jpg,b5b555fceaf91e32ca73128c6e80c4a6,The Prince of Wales ,Romanticism,portrait,1840.0,826
601.jpg,53128585a400eea9a4df4ff3ec89db41,Corner of a House,Impressionism,landscape,1884,601
688.jpg,f5aa2fd3418ac536047bb1f828fe0093,Evening at Kintai Bridge in Spring,Shin-hanga,cityscape,1947.0,688
584.jpg,9de86a85507c44bb31b1a5289b53c227,Portrait of a man in traditional dress,Social Realism,portrait,1950,584
664.jpg,2b304d8eacc1f21d0ad66b2f2f5520b0,Old Moscow street,Romanticism,cityscape,c.1890,664
352.jpg,b874a616affcb766bb0e7a4f2a0803f0,Milkmaid,Art Nouveau (Modern),genre painting,,352
311.jpg,40f86d376acde0d9862ce7493745bdae,Portrait Of Jaume Miravidles,Expressionism,portrait,1922,311
732.jpg,b874a616affcb766bb0e7a4f2a0803f0,Girls with flowers at feet,Art Nouveau (Modern),design,1902.0,732
797.jpg,56a65fd0799811f55b3bb04001c4c953,Les murs disparaîtrons,Tachisme,abstract,1961.0,797
469.jpg,82792f2e1e7e17b094b68470452b8987,The green with Erica ,Fauvism,portrait,1970.0,469
1.jpg,1468ab18764365ded902fc726aec2c89,Sunflowers,Expressionism,flower painting,1918,1
833.jpg,b874a616affcb766bb0e7a4f2a0803f0,Portraits of Viennese Ladies,Art Nouveau (Modern),portrait,1901.0,833
865.jpg,79f6b47483600c140c91e901f746a368,Portrait of Madame Olry Roederer,Neoclassicism,portrait,1900,865
722.jpg,24ed88087b0ffeb763e89a197a5cde0d,Jeannie Gobillard,Impressionism,portrait,1894,722
120.jpg,e1587900e782de448f604b37cde0fdfd,Pierre Edouard Baranowski,Expressionism,portrait,1918,120
996.jpg,489c7bf979f6a993869fdc0ae7e4ae34,The boat of the flag,Expressionism,marina,,996
568.jpg,489c7bf979f6a993869fdc0ae7e4ae34,La Ciotat Harbor,Fauvism,cityscape,1906,568
250.jpg,56221362cba30b7e0c96111cc38c5fcd,Saint Francis and his birds,Neo-Romanticism,religious painting,,250
303.jpg,fa7a0860d572a3ec6d1e563839a22d73,La Fortune,Surrealism,landscape,1938.0,303
369.jpg,ede635e53e1b4a905bbea74de30371cf,Venus Blindfolding Cupid,Mannerism (Late Renaissance),mythological painting,c.1565,369
929.jpg,2ba365352b37c48e22d6b12415c44ecc,Untitled,Surrealism,abstract,1958,929
257.jpg,5c1095f901d4b427f9c9a95096e3fbb1,Gathering of Circles,Sōsaku hanga,abstract,1964.0,257
70.jpg,a8da68256ffa6f9fee55bd7bb553652a,"Twenty-Three Fifth Avenue, Interior",Impressionism,interior,1910,70
339.jpg,c7b73c65445a018b1f5f3e781fac1bf8,Digging for Roots,Expressionism,genre painting,1949,339
780.jpg,3f8dc381ccfe9d5cc88b75970262715b,A street,Expressionism,sketch and study,1910,780
189.jpg,c8674132ed594f31e9312b6a26629cb2,Egret by the Pool,Ink and wash painting,animal painting,,189
709.jpg,aceaa52f487dd19129857232b2eeb3d5,Flowers in a Vase,Realism,flower painting,1881,709
30.jpg,0a44213d485e420c7a3cd652d7010b7b,"Ash Trees at Cropthorne, Worcestershire",Naturalism,landscape,,30
163.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Suikoden Triptych the Fishermen,Ukiyo-e,genre painting,,163
789.jpg,3f8dc381ccfe9d5cc88b75970262715b,Poppies,Realism,flower painting,1947,789
452.jpg,b60aa1ea22ccf54d9fe50f892e9f28ab,The Haystack,Impressionism,landscape,1882,452
566.jpg,c74b7dd9e9e7d8c42895eda332990988,Métis à la Chemise blanche,Expressionism,portrait,,566
926.jpg,03eb72f3b50cabc136056918808ba5cb,Women and Fishermen of Hornbaek,Realism,genre painting,1875.0,926
939.jpg,3cb302046ccfd50f005243963add5031,Barbara Bellasis  ,Baroque,portrait,1690.0,939
448.jpg,40eb05ffa3909e072e80746671744d93,L'Agitateur du Languedoc,Academicism,history painting,1887.0,448
278.jpg,62b4406512c45730d2c7c40f5e3d0d12,Birth of Zoomorph Couple,Surrealism,symbolic painting,1933,278
246.jpg,a93f22f1b76812faea32cc0e9c4faa36,Shades of Evening,Realism,genre painting,,246
699.jpg,6e606cd9cf9660466b26b6c94f6d7240,Shark Fishing,Realism,genre painting,1885,699
114.jpg,e88f5c22a024ef502ce9d5cad6a001a9,Study of a woman's face,Rococo,sketch and study,,114
279.jpg,56221362cba30b7e0c96111cc38c5fcd,The Tarry Stone. Cookham,Neo-Romanticism,cityscape,1929,279
870.jpg,2cd87bc71a43270dc7ce0917f6f6d980,Cover design for 'The Yellow Book',Art Nouveau (Modern),design,,870
408.jpg,4030d6fc5a80030e74f7d7747aa4e27e,The Bishop's Visit,Expressionism,genre painting,1926.0,408
176.jpg,d880f75735034af92204bc70a5802e7d,Psamathe,Academicism,mythological painting,c.1880,176
927.jpg,67881ce12ae195bfae24c608120c5b5a,How will be!,Modernismo,animal painting,,927
17.jpg,b36edf57ed623e40e433565053f5f6ca,The mask negro,Cubism,design,,17
297.jpg,24469767ca1b3b1707c5806ba71eaba8,Bretagne,Expressionism,landscape,1921,297
336.jpg,67881ce12ae195bfae24c608120c5b5a,Sailor with woman,Expressionism,genre painting,1951.0,336
712.jpg,5e560e9b2ae0c20cfc57b308742bc677,Naked Child Laughing,Expressionism,nude painting (nu),1963,712
769.jpg,8cdd41002b7b5c5d112865054a7fe13e,The Kiss,Cubism,genre painting,1930,769
695.jpg,b36edf57ed623e40e433565053f5f6ca,Contrasts of Forms,Cubism,abstract,1913.0,695
142.jpg,56221362cba30b7e0c96111cc38c5fcd,The Marriage At Cana: Bride And Bridegroom,Neo-Romanticism,religious painting,,142
